user_name,tweet_id,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,is_retweet,word
sawyer snope,1.64078E+18,Unknown,,2017-04-07 04:42:14+00:00,136,283,6119,FALSE,2023-03-28 18:28:30+00:00,@SwaGGy_D33 @brandonthetype I don’t necessarily think it’s a pity party type deal I just think it wasn’t a good fit… https://t.co/lrEEErfXKx,,Twitter for iPhone,FALSE,d33
Danyal,1.64078E+18,,Love Hate relationship with Arsenal ❤💔,2012-01-04 01:13:01+00:00,105,301,4396,FALSE,2023-03-28 18:24:17+00:00,"RT @ArsenalN7: Antonio Conte sacked on Mikel Arteta’s birthday. It’s the history of the Tottenham 😭

https://t.co/cIiXnIsFLX",,Twitter for iPhone,FALSE,d33
Drew,1.64078E+18,,,2013-01-31 16:50:10+00:00,159,759,20050,FALSE,2023-03-28 18:23:43+00:00,"@TatumEnjoyer_ @OldManAndThree @Al_Horford @jj_redick @talter @ThreeFourTwopro @WonderyMedia Right, so we don’t nee… https://t.co/L0Hbmx8x4x",,Twitter for iPhone,FALSE,d33
Drew,1.64078E+18,,,2013-01-31 16:50:10+00:00,159,759,20050,FALSE,2023-03-28 18:23:01+00:00,@brandonthetype Right …. But then we don’t need to have a huge pity party for him bc of that. Guy chose 💲💲💲💲💲💲,,Twitter for iPhone,FALSE,d33
DBO,1.64078E+18,"England, United Kingdom",No doubt,2017-12-08 15:40:27+00:00,237,812,9416,FALSE,2023-03-28 18:15:37+00:00,RT @CFCRaf2: He deserves the hype Bellingham gets. This is a proper superstar.,,Twitter for iPhone,FALSE,d33
Darius Peterson,1.64078E+18,"Oklahoma City, Oklahoma",“Don’t fuck up the Feng Shui.” 🎮 XB:Kiryu Sensei/ PSN:Kiryu_Sensei. #TheLobby #HXC,2010-01-08 06:15:03+00:00,266,686,3018,FALSE,2023-03-28 18:15:22+00:00,All that’s missing is Mission Impossible. https://t.co/x5MRM2mGfR,,Twitter for iPhone,FALSE,d33
سعد المطرفي,1.64078E+18,Kingdom Saudi Arabia,مُهتم بالقضايا التي تهم المواطن الخليجي 🇧🇭🇰🇼🇸🇦🇦🇪🇶🇦🇴🇲 . خليجنا 🤝 واحد . إعادة التغريد ليس بالضرورة التأييد. كلماتي في مفضّلتي🖋🗒,2011-12-26 21:13:56+00:00,3872,1014,2763,FALSE,2023-03-28 18:13:57+00:00,"RT @HHShkMohd: Today we approved the Dubai Economic Agenda - D33, that aims to double the size of Dubai’s economy in the next decade and co…",,Twitter for Android,FALSE,d33
سعد المطرفي,1.64078E+18,Kingdom Saudi Arabia,مُهتم بالقضايا التي تهم المواطن الخليجي 🇧🇭🇰🇼🇸🇦🇦🇪🇶🇦🇴🇲 . خليجنا 🤝 واحد . إعادة التغريد ليس بالضرورة التأييد. كلماتي في مفضّلتي🖋🗒,2011-12-26 21:13:56+00:00,3872,1014,2763,FALSE,2023-03-28 18:13:55+00:00,"RT @HHShkMohd: The Dubai Economic Agenda D33 includes 100 transformative projects, with economic targets of AED32 trillion dirhams over the…",,Twitter for Android,FALSE,d33
Darius Peterson,1.64078E+18,"Oklahoma City, Oklahoma",“Don’t fuck up the Feng Shui.” 🎮 XB:Kiryu Sensei/ PSN:Kiryu_Sensei. #TheLobby #HXC,2010-01-08 06:15:03+00:00,266,686,3018,FALSE,2023-03-28 18:13:00+00:00,RT @NewRockstars: June is going to be WILD https://t.co/hzYQEFeEw1,,Twitter for iPhone,FALSE,d33
brandon boyle,1.64078E+18,,Brandon Boylestein,2020-08-08 17:59:16+00:00,18,344,1031,FALSE,2023-03-28 18:08:35+00:00,@SwaGGy_D33 @OldManAndThree @Al_Horford @jj_redick @talter @ThreeFourTwopro @WonderyMedia You literally answered your question in that tweet,,Twitter for iPhone,FALSE,d33
