user_name,tweet_id,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,Text,hashtags,source,is_retweet,word,Datetime,Sentiment
Drillz,1.64076e+18,"Lagos, Nigeria",,2022-10-22 22:53:41+00:00,200,910,17676,False,2023-03-28 17:10:01+00:00, dubai abaya price sizes available for pickup or delivery kindly retweet and patronise ,,Twitter for iPhone,False,1,2023-03-28,Positive
Herma Hulda,1.64076e+18,,,2023-02-25 22:30:34+00:00,13,22,0,False,2023-03-28 17:09:54+00:00, let there be light another day another university canadian university dubai aubh instead ,,Twitter Web App,False,1,2023-03-28,Positive
𝐌𝐈𝐂𝐇𝐀𝐄𝐋𝐈𝐆𝐄𝐍𝐂𝐄,1.64076e+18,,"Walking ambition, pure pleasure lover, dreamer.",2018-07-21 18:42:42+00:00,2788,2802,55854,False,2023-03-28 17:09:49+00:00, ya fav dubai lexus rx seater clean title gcc spec shipping and clearing inclusive price rt tiga b ,,Twitter for Android,False,1,2023-03-28,Positive
Kaliya,1.64076e+18,"Bilbao, Spain",*****************,2010-03-28 06:10:36+00:00,1139,3807,48604,False,2023-03-28 17:09:49+00:00, bolsonaro is hiding in us after fleeing from brazil rajapaksha hid in singapore dubai putin has an arrest warrant from ic ,,Twitter for iPhone,False,1,2023-03-28,Negative
Charehwa,1.64076e+18,,,2021-11-04 15:50:54+00:00,347,795,5436,False,2023-03-28 17:09:46+00:00, zed koudonaris smelts gold stock in zim sells it to pastor paul kamlesh pattni in the al jazeera expos pattni pays zed ,,Twitter for Android,False,1,2023-03-28,Neutral
dheyy🐹,1.64076e+18,,INFP-T | 00L,2022-02-25 02:19:31+00:00,1733,5007,13601,False,2023-03-28 17:09:45+00:00, icymi check out our recap videos from singapore and dubai to relive the energy it s a must watch for anyone who ,"['ICYMI', 'Singapore', 'Dubai']",Twitter for Android,False,1,2023-03-28,Neutral
Rana Hammad Rana Hammad,1.64076e+18,,,2022-08-13 02:35:30+00:00,0,13,2,False,2023-03-28 17:09:31+00:00, love dubai police good work ,,Twitter for Android,False,1,2023-03-28,Positive
Olawale Oladejo,1.64076e+18,Lagos,"BSc Political Science, Electrician, @LFC die-hard, seek a just and value driven society.  olawale.oladejoonline@gmail.com",2011-12-14 14:51:04+00:00,1226,1543,36496,False,2023-03-28 17:09:28+00:00, i am excited to join this constellation of change makers and icons at the edition of the international women leadership c ,,Twitter for Android,False,1,2023-03-28,Positive
Phe,1.64076e+18,,,2022-09-05 10:15:29+00:00,475,261,750,False,2023-03-28 17:09:19+00:00, i refuse for someone to tell me that i ve never been to dubai ,,Twitter for iPhone,False,1,2023-03-28,Neutral
Savage Launda,1.64076e+18,India,"Truly Indian
Nationalist

#tech #India",2019-01-23 23:05:59+00:00,45,271,60121,False,2023-03-28 17:09:14+00:00, what ppl are not getting is real wages in dubai is times that of tier indian city that means her uncle bought a vill ,,Twitter for Android,False,1,2023-03-28,Positive
Vilma Cathy,1.64076e+18,,,2023-02-25 22:26:17+00:00,13,22,0,False,2023-03-28 17:09:11+00:00, let there be light another day another university canadian university dubai aubh instead ,,Twitter Web App,False,1,2023-03-28,Positive
Brody Logan,1.64076e+18,Fresno CA,"@KSEE24 Morning Anchor, @FanDuelTV Host, alum of #TheU, Previously @fox5dc @ESPNU @CBSSports, proud #FloridaMan, won a sauna on The Price is Right",2009-01-26 22:50:50+00:00,7172,1911,36578,True,2023-03-28 17:09:03+00:00, it s smoke and mirrors there s no real money here anymore the former crypto exec a third generation wall streeter s ,,TweetDeck,False,1,2023-03-28,Negative
John,1.64076e+18,,realitas,2021-06-14 14:11:58+00:00,160,322,12461,False,2023-03-28 17:08:56+00:00, we re at the final stage of our ev company incorporation in france and we will host a car launch event in dubai very s ,,Twitter for Android,False,1,2023-03-28,Positive
Gaston Alfred Dias,1.64076e+18,"Maharashtra, India","Sr.Manager at Ministry of Defence, Oman (1984-93) Asst Director at Jumeirah International (1999-2009), Redt Director at New York University, Abu Dhabi (2010-18)",2019-10-09 06:06:54+00:00,3,1,4,False,2023-03-28 17:08:42+00:00, dear governor rick perry sir it gave me great pleasure revisiting this pic from when sir vi ,,Twitter for Android,False,1,2023-03-28,Positive
therealBax™️,1.64076e+18,"London, England",Find me a bag and i’ll hodl it 🙌🏻💎 $MULN #MULN_ARMY_MEMBER,2018-01-20 22:24:07+00:00,69,103,3640,False,2023-03-28 17:08:40+00:00, i know right such a waste of wealth but again not only in egypt in dubai they go for way more lol,,Twitter for iPhone,False,1,2023-03-28,Positive
LostLinkz,1.64076e+18,,,2021-09-12 14:51:09+00:00,30,60,3931,False,2023-03-28 17:08:35+00:00, dubai less than years ago change happens quickly in countries that do things right the future looks ,,Twitter for Android,False,1,2023-03-28,Positive
MYR999,1.64076e+18,somewhereonearth🌎,"I'm manifesting my reality.

Follow me on social media, and I'll bring you along with me!

@cobratate 👈 HE'S THE MAN ❤️

IG - manifestyourreality999",2022-08-07 22:07:43+00:00,78,42,177,False,2023-03-28 17:08:34+00:00, start making k a month and move to dubai u will love life bro,,Twitter for Android,False,1,2023-03-28,Positive
Richard Oliver (Pure/Blood),1.64076e+18,Communist CanaDUHHHH,NEVER VAXXED - Crusader against FAKENEWS - Heretic - The VAXX Bio Weapons are poison - Dad of 5 - Lover of dogs and horses - Fighter of EVIL,2022-02-15 21:49:19+00:00,81,99,3888,False,2023-03-28 17:08:32+00:00, nft from india,,Twitter for iPhone,False,1,2023-03-28,Neutral
Allsopp & Allsopp,1.64076e+18,"Dubai, United Arab Emirates",Dubai’s leading real estate agency.,2010-01-13 11:59:29+00:00,1321,65,636,False,2023-03-28 17:08:29+00:00,exclusive in demand br maids with landscaped garden and private pool in jumeirahgolfestates luxury living a ,['JumeirahGolfEstates'],Twitter for iPhone,False,1,2023-03-28,Neutral
kyuuuwins_cutie 🍀,1.64076e+18,,BIG WIN ASAP 🍀,2022-09-26 11:21:01+00:00,41,3760,7413,False,2023-03-28 17:08:09+00:00, icymi check out our recap videos from singapore and dubai to relive the energy it s a must watch for anyone who ,"['ICYMI', 'Singapore', 'Dubai']",Twitter for Android,False,1,2023-03-28,Neutral
TEMPLE 01 🇳🇬,1.64076e+18,"Lagos, Nigeria",Olowo Ori Bisko BLZS Founder/GCE @thetempleco @theogidistudios Ambassador of @flowfabrics Executive Producer of @itkmovie & #MVPMovie Project Lead @unilagnuga,2011-03-08 20:38:41+00:00,6172,379,57019,False,2023-03-28 17:08:09+00:00, i am excited to join this constellation of change makers and icons at the edition of the international women leadership c ,,Twitter for iPhone,False,1,2023-03-28,Positive
JoJo,1.64076e+18,.......,...,2020-02-04 05:09:51+00:00,164,2132,30338,False,2023-03-28 17:08:08+00:00, dubai is asthetically beautiful ,,Twitter for Android,False,1,2023-03-28,Positive
