user_name,tweet_id,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,is_retweet,word
TechX Pakistan,1.64079E+18,"Karachi, Sindh",TechX Pakistan is a blog project started in 2019 with an agenda to cover the gap in Local Technology & Social blogging.,2019-08-16 10:55:07+00:00,770,3,11,FALSE,2023-03-28 19:03:58+00:00,"The Dubai Customs’ Consultative Council has voiced its support for the Dubai Economic Plan D33,..

Read More:… https://t.co/VE6oSswi9b",,Twitter Web App,FALSE,D33
I’m Dee Tate,1.64079E+18,,"I’m just here… #Ofendiendo  CR7 💯❤️
..... #FreeTopG",2022-03-23 07:43:12+00:00,191,171,6190,FALSE,2023-03-28 18:53:54+00:00,@Naija_PR I’m a tweeter on Twitter,,Twitter for iPhone,FALSE,D33
sawyer snope,1.64079E+18,Unknown,,2017-04-07 04:42:14+00:00,136,283,6119,FALSE,2023-03-28 18:48:04+00:00,"@SwaGGy_D33 @brandonthetype Yeah exactly, like bro got his money, came back, what’s there to be upset about?",,Twitter for iPhone,FALSE,D33
Drew,1.64079E+18,,,2013-01-31 16:50:10+00:00,160,759,20050,FALSE,2023-03-28 18:46:27+00:00,"@SawyerSnope @brandonthetype I’m fine with a guy wanting to get paid, but don’t ask me to feel sorry for him bc he… https://t.co/Jz4tc7bYNS",,Twitter for iPhone,FALSE,D33
sawyer snope,1.64079E+18,Unknown,,2017-04-07 04:42:14+00:00,136,283,6119,FALSE,2023-03-28 18:43:32+00:00,"@SwaGGy_D33 @brandonthetype Damn I never knew that, typical media though so it doesn’t really surprise me. They’re… https://t.co/eL0Rd9jOyI",,Twitter for iPhone,FALSE,D33
Drew,1.64079E+18,,,2013-01-31 16:50:10+00:00,160,759,20050,FALSE,2023-03-28 18:41:40+00:00,@SawyerSnope @brandonthetype During the playoffs last year the narrative and tone from the media made it seem like… https://t.co/UkwWjDeRJJ,,Twitter for iPhone,FALSE,D33
sawyer snope,1.64078E+18,Unknown,,2017-04-07 04:42:14+00:00,136,283,6119,FALSE,2023-03-28 18:28:30+00:00,@SwaGGy_D33 @brandonthetype I don’t necessarily think it’s a pity party type deal I just think it wasn’t a good fit… https://t.co/lrEEErfXKx,,Twitter for iPhone,FALSE,D33
Danyal,1.64078E+18,,Love Hate relationship with Arsenal ❤💔,2012-01-04 01:13:01+00:00,105,301,4395,FALSE,2023-03-28 18:24:17+00:00,"RT @ArsenalN7: Antonio Conte sacked on Mikel Arteta’s birthday. It’s the history of the Tottenham 😭

https://t.co/cIiXnIsFLX",,Twitter for iPhone,FALSE,D33
Drew,1.64078E+18,,,2013-01-31 16:50:10+00:00,160,759,20050,FALSE,2023-03-28 18:23:43+00:00,"@TatumEnjoyer_ @OldManAndThree @Al_Horford @jj_redick @talter @ThreeFourTwopro @WonderyMedia Right, so we don’t nee… https://t.co/L0Hbmx8x4x",,Twitter for iPhone,FALSE,D33
Drew,1.64078E+18,,,2013-01-31 16:50:10+00:00,160,759,20050,FALSE,2023-03-28 18:23:01+00:00,@brandonthetype Right …. But then we don’t need to have a huge pity party for him bc of that. Guy chose 💲💲💲💲💲💲,,Twitter for iPhone,FALSE,D33
DBO,1.64078E+18,"England, United Kingdom",No doubt,2017-12-08 15:40:27+00:00,237,812,9416,FALSE,2023-03-28 18:15:37+00:00,RT @CFCRaf2: He deserves the hype Bellingham gets. This is a proper superstar.,,Twitter for iPhone,FALSE,D33
Darius Peterson,1.64078E+18,"Oklahoma City, Oklahoma",“Don’t fuck up the Feng Shui.” 🎮 XB:Kiryu Sensei/ PSN:Kiryu_Sensei. #TheLobby #HXC,2010-01-08 06:15:03+00:00,266,685,3018,FALSE,2023-03-28 18:15:22+00:00,All that’s missing is Mission Impossible. https://t.co/x5MRM2mGfR,,Twitter for iPhone,FALSE,D33
سعد المطرفي,1.64078E+18,Kingdom Saudi Arabia,مُهتم بالقضايا التي تهم المواطن الخليجي 🇧🇭🇰🇼🇸🇦🇦🇪🇶🇦🇴🇲 . خليجنا 🤝 واحد . إعادة التغريد ليس بالضرورة التأييد. كلماتي في مفضّلتي🖋🗒,2011-12-26 21:13:56+00:00,3875,1014,2763,FALSE,2023-03-28 18:13:57+00:00,"RT @HHShkMohd: Today we approved the Dubai Economic Agenda - D33, that aims to double the size of Dubai’s economy in the next decade and co…",,Twitter for Android,FALSE,D33
سعد المطرفي,1.64078E+18,Kingdom Saudi Arabia,مُهتم بالقضايا التي تهم المواطن الخليجي 🇧🇭🇰🇼🇸🇦🇦🇪🇶🇦🇴🇲 . خليجنا 🤝 واحد . إعادة التغريد ليس بالضرورة التأييد. كلماتي في مفضّلتي🖋🗒,2011-12-26 21:13:56+00:00,3875,1014,2763,FALSE,2023-03-28 18:13:55+00:00,"RT @HHShkMohd: The Dubai Economic Agenda D33 includes 100 transformative projects, with economic targets of AED32 trillion dirhams over the…",,Twitter for Android,FALSE,D33
Darius Peterson,1.64078E+18,"Oklahoma City, Oklahoma",“Don’t fuck up the Feng Shui.” 🎮 XB:Kiryu Sensei/ PSN:Kiryu_Sensei. #TheLobby #HXC,2010-01-08 06:15:03+00:00,266,685,3018,FALSE,2023-03-28 18:13:00+00:00,RT @NewRockstars: June is going to be WILD https://t.co/hzYQEFeEw1,,Twitter for iPhone,FALSE,D33
brandon boyle,1.64078E+18,,Brandon Boylestein,2020-08-08 17:59:16+00:00,18,344,1031,FALSE,2023-03-28 18:08:35+00:00,@SwaGGy_D33 @OldManAndThree @Al_Horford @jj_redick @talter @ThreeFourTwopro @WonderyMedia You literally answered your question in that tweet,,Twitter for iPhone,FALSE,D33
tennifer✨,1.64078E+18,"Louisiana, USA",here for entertainment purposes only ✨🏳️‍🌈 they/them,2016-05-29 04:04:08+00:00,365,220,190993,FALSE,2023-03-28 18:02:02+00:00,RT @ccsnchz_: I hope creepy clown fetish professor gets actual repercussions and punishment. https://t.co/PCxCxro8Vx,,Twitter for iPhone,FALSE,D33
DBO,1.64077E+18,"England, United Kingdom",No doubt,2017-12-08 15:40:27+00:00,237,812,9416,FALSE,2023-03-28 17:37:11+00:00,RT @FCBeej: Man really benefited from the split of the Soviet Union more than the United States of America 😭😭,,Twitter for iPhone,FALSE,D33
Drew,1.64077E+18,,,2013-01-31 16:50:10+00:00,160,759,20050,FALSE,2023-03-28 17:31:21+00:00,@OldManAndThree @Al_Horford @jj_redick @talter @ThreeFourTwopro @WonderyMedia If the topic of him being sad in Phil… https://t.co/65NKZw8Uaz,,Twitter for iPhone,FALSE,D33
DBO,1.64076E+18,"England, United Kingdom",No doubt,2017-12-08 15:40:27+00:00,237,812,9416,FALSE,2023-03-28 17:11:55+00:00,RT @SherzCapone00: Youngens don’t even know it was Quaresma vs Ronaldo before any Messi rivalry,,Twitter for iPhone,FALSE,D33
